"Student.ID","Enrolled.Student.Count","maxCredits","DegreeObtained","Major","StartingTerm","MostRecentTerm","Cum.UG.Crs.GPA","FirstSemester","AdvancedClasses","ChangedMajor","PrimaryTermCount","TwoMajors"
"8147431","1",106,0,"BA Major",202310,202510,3.55,0,0,0,5,0
"8147458","1",74,0,"BA Major",202310,202510,3.85,0,0,0,5,1
"8147889","1",118,0,"BA Major",202310,202510,3.4,0,0,0,5,1
"8147973","1",81,0,"Finance",202310,202510,3.53,0,0,1,5,0
"8148045","1",59,0,"BA Major",202310,202510,2.6,0,0,0,5,0
"8148167","1",64,0,"BA Major",202310,202510,2.83,0,0,1,5,0
"8148469","1",94,0,"BA Major",202310,202510,3.55,0,0,0,5,0
"8148923","1",65,0,"Accountancy",202310,202510,3.6,0,0,0,5,1
"8149274","1",65,0,"BA Major",202310,202510,3.7,0,0,1,5,0
"8149309","1",69,0,"IS Major",202310,202510,2.81,0,0,0,5,0
"8149335","1",90,1,"BA Major",202310,202510,3.15,0,0,1,5,0
"8149556","1",95,0,"Accountancy",202310,202510,3.96,0,0,0,5,0
"8150970","1",58,0,"BA Major",202310,202510,3.15,0,0,0,5,0
"8151012","1",98,0,"BA Major",202310,202510,3.93,0,0,1,5,0
"8151086","1",73,0,"BA Major",202310,202510,2.94,0,0,1,5,0
"8151107","1",92.6,0,"BA Major",202310,202510,3.55,0,0,0,5,0
"8151305","1",62,0,"BA Major",202310,202510,3.18,0,0,0,5,0
"8151587","1",72,0,"BA Major",202310,202510,3.93,0,0,0,4,0
"8151654","1",64,0,"BA Major",202310,202510,3.25,0,0,0,5,0
"8151695","1",90,0,"Marketing",202310,202510,2.55,0,0,1,5,0
"8152069","1",95,0,"Marketing",202310,202510,2.89,0,0,1,5,0
"8152289","1",48,0,"BA Major",202310,202510,2.74,0,0,0,5,0
"8152321","1",62,0,"Finance",202310,202510,3.55,0,0,1,5,0
"8152659","1",81,0,"BA Major",202310,202510,3.7,0,0,0,5,0
"8152662","1",82,0,"BA Major",202310,202510,3.16,0,0,1,5,1
"8152749","1",62,0,"IS Major",202310,202510,3.45,0,0,1,5,0
"8153125","1",59,0,"BA Major",202310,202510,3.21,0,0,1,5,0
"8153342","1",89,0,"BA Major",202310,202510,3.7,0,0,0,5,0
"8153377","1",103,0,"BA Major",202310,202510,4,0,0,0,5,0
"8153542","1",92,0,"BA Major",202310,202510,3.84,0,0,1,5,0
"8154142","1",61,0,"BA Major",202310,202510,3,0,0,0,5,0
"8154259","1",60,0,"Business Economics",202310,202510,2.31,0,0,1,5,0
"8154315","1",84,0,"Finance",202310,202510,3.44,0,0,1,5,0
"8154337","1",58,0,"BA Major",202310,202510,2.68,0,0,1,5,0
"8160693","1",66,0,"IS Major",202310,202510,2.6,0,0,1,5,0
"8160801","1",110,0,"BA Major",202310,202510,3.92,0,0,1,5,1
"8160820","1",88,0,"BA Major",202310,202510,3.31,0,0,0,5,1
"8161085","1",115,0,"BA Major",202310,202510,3.57,0,0,1,5,0
"8161157","1",94,0,"Supply Chain & Operations Mgmt",202310,202510,3.35,0,0,1,5,0
"8161399","1",66,0,"BA Major",202310,202510,3.7,0,0,0,5,0
"8161439","1",62,0,"Marketing",202310,202510,2.71,0,0,1,5,0
"8161724","1",119,0,"BA Major",202310,202510,3.87,0,0,1,5,0
"8161990","1",73,0,"BA Major",202310,202510,3.11,0,0,0,5,0
"8162016","1",91,0,"BA Major",202310,202510,3.97,0,0,1,5,0
"8162164","1",81,0,"Accountancy",202410,202510,3.53,0,0,1,5,1
"8162281","1",100,0,"Business Economics",202310,202510,3.75,0,0,1,5,0
"8162853","1",76,0,"BA Major",202310,202510,2.78,0,0,1,5,0
"8162901","1",84,0,"BA Major",202310,202510,3.83,0,0,1,5,1
"8162906","1",74,0,"Finance",202310,202510,3.66,0,0,1,5,0
"8163008","1",78,0,"Accountancy",202310,202510,3.86,0,0,1,5,1
"8163086","1",104,0,"BA Major",202310,202510,3.63,0,0,1,5,1
"8163102","1",89,0,"Accountancy",202310,202510,3.39,0,0,0,5,1
"8163147","1",92,0,"BA Major",202310,202510,3.98,0,0,0,5,1
"8163195","1",68,0,"Marketing",202310,202510,3.08,0,0,1,5,0
"8163233","1",86,0,"Accountancy",202310,202510,3.53,0,0,1,5,1
"8163250","1",95,0,"BA Major",202310,202510,3.55,0,0,1,5,1
"8163402","1",112,0,"BA Major",202310,202510,4,0,0,0,5,1
"8163696","1",87,0,"Accountancy",202310,202510,3.56,0,0,1,5,0
"8163731","1",73,0,"Finance",202310,202510,3.52,0,0,1,5,0
"8163855","1",108,0,"BA Major",202310,202510,3.9,0,0,1,5,1
"8163909","1",67,0,"BA Major",202310,202510,3.1,0,0,1,5,0
"8164025","1",75,0,"Accountancy",202310,202510,3.9,0,0,1,5,0
"8164180","1",57,0,"BA Major",202310,202510,3.04,0,0,1,5,0
"8164296","1",139,1,"BA Major",202310,202510,3.4,0,0,1,5,1
"8164571","1",65,0,"BA Major",202310,202510,2.56,0,0,0,5,0
"8164864","1",92,0,"Accountancy",202310,202510,3.97,0,0,0,5,1
"8164883","1",78,0,"BA Major",202310,202510,3.39,0,0,0,5,0
"8164912","1",55,0,"BA Major",202310,202510,2.33,0,0,1,5,0
"8165255","1",57,0,"Finance",202310,202510,3.61,0,0,1,5,0
"8165872","1",120,0,"BA Major",202310,202510,3.84,0,0,1,5,1
"8166070","1",139,0,"BA Major",202310,202510,3.95,0,0,1,5,1
"8166091","1",65,0,"BA Major",202310,202510,3.58,0,0,0,5,0
"8166116","1",58,0,"Finance",202310,202510,3.09,0,0,1,5,0
"8166210","1",85,0,"IS Major",202310,202510,3.85,0,0,1,5,1
